Score,Time,Summary,Text,Sentiment,Cleaned_Text,Processed_Text,Detected_Emotions,Activation_Levels,Confidence_Scores,Sentiment_Score,Sub_Topic,Main_Topic,Adorescore
2,2008-05-15,Good and tangy,"I agree with the other review, these chips are not for a sore mouth or tender gums. The chips are very hard and the taste is delightful if you enjoy the salt/vinegar combo. Unfortunately, every bag I received in that case was over cooked! They were very dark and only a few golden brown chips in each bag. They definitely need to improve that!",Negative,i agree with the other review these chips are not for a sore mouth or tender gums the chips are very hard and the taste is delightful if you enjoy the salt vinegar combo unfortunately every bag i received in that case was over cooked they were very dark and only a few golden brown chips in each bag they definitely need to improve that,agree review chip sore mouth tender gum chip hard taste delightful enjoy salt vinegar combo unfortunately every bag received case cooked dark golden brown chip bag definitely need improve,"joy, neutral, surprise","Medium, Low, Low","0.672, 0.148, 0.093",0.8689,"salt, vinegar, chip, sea, like, salty, greasy, bag, flavor, taste",Defective Item,24.26
5,2008-03-28,the best chips ever,We love Kettle Chips Lightly Salted and don't feel guilty eating them!  We used to buy them at Whole Foods but buying from Amazon has saved us money.  We have purchased at least 3 times and have been happy with the chips and the delivery.,Positive,we love kettle chips lightly salted and don t feel guilty eating them we used to buy them at whole foods but buying from amazon has saved us money we have purchased at least 3 times and have been happy with the chips and the delivery,love kettle chip lightly salted feel guilty eating used buy whole food buying amazon saved u money purchased least 3 time happy chip delivery,"sadness, joy, neutral","High, Low, Low","0.99, 0.003, 0.003",0.8625,"chip, kettle, potato, br, bag, brand, flavour, flavor, best, oil",Value for Money,-32.9
5,2008-02-22,I do not even like kettle chips and I love these,"A friend of mine brought these into work with the claim , ""these will change your life!""  While my life is fairly unchanged, I cannot get enough of these chips . . . . and I do not even like kettle chips.  For the most part, I find Kettle Chips to be too thick and greasy, but the flavor of these chips is amazing!  The are the type of hot that is refreshing.  If you do not enjoy spicy or hot things . . . try these anyway, they may convert you.",Positive,a friend of mine brought these into work with the claim these will change your life while my life is fairly unchanged i cannot get enough of these chips and i do not even like kettle chips for the most part i find kettle chips to be too thick and greasy but the flavor of these chips is amazing the are the type of hot that is refreshing if you do not enjoy spicy or hot things try these anyway they may convert you,friend mine brought work claim change life life fairly unchanged get enough chip even like kettle chip part find kettle chip thick greasy flavor chip amazing type hot refreshing enjoy spicy hot thing try anyway may convert,"joy, surprise, neutral","High, Low, Low","0.808, 0.093, 0.084",0.9136,"chip, kettle, potato, br, bag, brand, flavour, flavor, best, oil",General Feedback,28.793333333333333
5,2008-02-22,You have to love sea salt and vinegar already,"But if you happen to, like me, there is no better sea salt and vinegar chip I've found in this country.",Positive,but if you happen to like me there is no better sea salt and vinegar chip i ve found in this country,happen like better sea salt vinegar chip found country,"joy, surprise, neutral","Medium, Low, Low","0.502, 0.36, 0.122",0.6597,"salt, vinegar, chip, sea, like, salty, greasy, bag, flavor, taste",Product Quality,23.933333333333334
5,2008-02-20,Addictive,"These are the best potato chips I've ever tasted.  It's easy to go through half of a bag without stopping.  The texture/crunchiness is just perfect, as is the salt and vinegar combination.  I don't know how they taste so much better than all of the other chips I've ever had, but they do.  And, judging from the nutrition facts, they seem to be healthier, too.  They're somewhat fibrous and have a good bit of potassium and vitamin c, which could be because they don't skin the potatoes and the chips are a bit thicker than normal.<br /><br />And if you like these, all of the Kettle chips are great.",Positive,these are the best potato chips i ve ever tasted it s easy to go through half of a bag without stopping the texture crunchiness is just perfect as is the salt and vinegar combination i don t know how they taste so much better than all of the other chips i ve ever had but they do and judging from the nutrition facts they seem to be healthier too they re somewhat fibrous and have a good bit of potassium and vitamin c which could be because they don t skin the potatoes and the chips are a bit thicker than normal br br and if you like these all of the kettle chips are great,best potato chip ever tasted easy go half bag without stopping texture crunchiness perfect salt vinegar combination know taste much better chip ever judging nutrition fact seem healthier somewhat fibrous good bit potassium vitamin c could skin potato chip bit thicker normal br br like kettle chip great,"joy, neutral, surprise","High, Low, Low","0.849, 0.102, 0.026",0.9765,"chip, kettle, potato, br, bag, brand, flavour, flavor, best, oil",Value for Money,28.82
5,2008-01-27,amazing chips,"i rarely eat chips but i saw these and tried them. they are really amazing. i love cheddar too, but the chips are really thin and crunch and delicious flavor. i recommend them.",Positive,i rarely eat chips but i saw these and tried them they are really amazing i love cheddar too but the chips are really thin and crunch and delicious flavor i recommend them,rarely eat chip saw tried really amazing love cheddar chip really thin crunch delicious flavor recommend,"joy, neutral, surprise","Medium, Low, Low","0.646, 0.308, 0.028",0.9436,"chip, crisp, cheese, love, amount, regular, right, oz, crispy, crunch",Product Quality,22.093333333333334
5,2007-12-04,Best Chip Ever,"This is easily the best potato chip that I have ever had.  Look at the ingredients:  Ginger and 3 types of hot pepper.  How can you go wrong?<br /><br />Obviously, not for you if you don't like spicy food. But, if you DO like spicy food, you'll probably love these.  They have that hot-with-a-hint-of-sweetness flavor combo that is prevalent in a lot of Thai food.",Positive,this is easily the best potato chip that i have ever had look at the ingredients ginger and 3 types of hot pepper how can you go wrong br br obviously not for you if you don t like spicy food but if you do like spicy food you ll probably love these they have that hot with a hint of sweetness flavor combo that is prevalent in a lot of thai food,easily best potato chip ever look ingredient ginger 3 type hot pepper go wrong br br obviously like spicy food like spicy food probably love hot hint sweetness flavor combo prevalent lot thai food,"joy, neutral, surprise","High, Low, Low","0.842, 0.083, 0.06",0.9423,"spicy, thai, chip, spice, sweetness, like, hint, hot, potato, enough",Wrong Item Sent,29.266666666666666
4,2007-08-09,"Tangy, spicy, and sweet- oh my!","Kettle Chips Spicy Thai potato chips have the perfect amount of sweet, savory and spicy-- everything you'd want in a good meal or better yet...a potato chip.  Since these are kettle-cooked, the chips are uniquely shaped and are sometimes a bit over-browned.  They are, however, sliced just perfectly, not too thick, not too thin, so you can actually get a great crunch with each bite without breaking a tooth off.  The flavor is tremendous, although I wouldn't describe it as Thai.  It's more of a vague, sweet and tangy flavor with a kick, and every now and then you get a great big hit of ginger.  If you like any spice at all, these really are not overly spicy, so most people can handle them.  The fact that these chips have absolutely no artificial ingredients or trans fat makes them a fabulous addition to any muncher's snack cupboard.",Positive,kettle chips spicy thai potato chips have the perfect amount of sweet savory and spicy everything you d want in a good meal or better yet a potato chip since these are kettle cooked the chips are uniquely shaped and are sometimes a bit over browned they are however sliced just perfectly not too thick not too thin so you can actually get a great crunch with each bite without breaking a tooth off the flavor is tremendous although i wouldn t describe it as thai it s more of a vague sweet and tangy flavor with a kick and every now and then you get a great big hit of ginger if you like any spice at all these really are not overly spicy so most people can handle them the fact that these chips have absolutely no artificial ingredients or trans fat makes them a fabulous addition to any muncher s snack cupboard,kettle chip spicy thai potato chip perfect amount sweet savory spicy everything want good meal better yet potato chip since kettle cooked chip uniquely shaped sometimes bit browned however sliced perfectly thick thin actually get great crunch bite without breaking tooth flavor tremendous although describe thai vague sweet tangy flavor kick every get great big hit ginger like spice really overly spicy people handle fact chip absolutely artificial ingredient trans fat make fabulous addition muncher snack cupboard,"joy, neutral, anger","High, Low, Low","0.936, 0.036, 0.012",0.9869,"spicy, thai, chip, spice, sweetness, like, hint, hot, potato, enough",Product Quality,30.84
4,2007-07-12,An indulgence with a bite,"Okay, I should not eat potato chips, nor should anyone.<br />But these are so spicy, I would find it hard to eat<br />very many. That makes them an indulgence that<br />rescues some people from overindulgence.",Positive,okay i should not eat potato chips nor should anyone br but these are so spicy i would find it hard to eat br very many that makes them an indulgence that br rescues some people from overindulgence,okay eat potato chip anyone br spicy would find hard eat br many make indulgence br rescue people overindulgence,"joy, neutral, surprise","High, Low, Low","0.894, 0.06, 0.026",0.5859,General Feedback,General Feedback,30.32
5,2007-07-03,The best I've had,"I don't write very many reviews but I have to say that Kettle Brand chips are the best I have ever tasted.  Every flavor is dynamite.  If you are feeling iffy about honey dijon, I would recommend cheddar beer, absolutely amazing.  And they're healthy!  (besides a lil fat)  I have eaten a lot of chips in my day and Kettle takes the cake.  Enjoy, and don't eat them too fast.",Positive,i don t write very many reviews but i have to say that kettle brand chips are the best i have ever tasted every flavor is dynamite if you are feeling iffy about honey dijon i would recommend cheddar beer absolutely amazing and they re healthy besides a lil fat i have eaten a lot of chips in my day and kettle takes the cake enjoy and don t eat them too fast,write many review say kettle brand chip best ever tasted every flavor dynamite feeling iffy honey dijon would recommend cheddar beer absolutely amazing healthy besides lil fat eaten lot chip day kettle take cake enjoy eat fast,"joy, neutral, surprise","High, Low, Low","0.988, 0.004, 0.004",0.9594,"chip, kettle, potato, br, bag, brand, flavour, flavor, best, oil",Product Quality,33.01333333333333
5,2007-03-08,Excellent chip!,"I bought these for the office and no one can put them down. I'm ordering more today and it has only been 2 weeks. Didn't have to shop for them either, Amazon brought it to my door!",Positive,i bought these for the office and no one can put them down i m ordering more today and it has only been 2 weeks didn t have to shop for them either amazon brought it to my door,bought office one put ordering today 2 week shop either amazon brought door,"surprise, neutral, joy","Low, Low, Low","0.445, 0.405, 0.103",0.1779,"candy, price, chocolate, shipping, amazon, product, gingerbread, store, fun, great",Fast Delivery,12.333333333333334
2,2008-06-21,salt and vinegar chips,It was a great value and I like the package size but not vinegary enough for me. Won't order this brand again. Great chips otherwise.,Negative,it was a great value and i like the package size but not vinegary enough for me won t order this brand again great chips otherwise,great value like package size vinegary enough order brand great chip otherwise,"joy, neutral, surprise","High, Low, Low","0.902, 0.074, 0.012",0.9201,"chip, deal, delivery, price, fast, package, per, always, school, great",Value for Money,30.30666666666667
5,2012-10-02,Delicious!!,Perfect!! They are my favorite because I can season with a variety of spices to exactly suit my tastes without all the salt!,Positive,perfect they are my favorite because i can season with a variety of spices to exactly suit my tastes without all the salt,perfect favorite season variety spice exactly suit taste without salt,"neutral, joy, surprise","High, Low, Low","0.853, 0.092, 0.03",0.7717,General Feedback,Product Quality,3.6666666666666665
4,2012-01-31,I like them.,"Amazon's suggestion for a 4 star review is ""I like it.""  That being said, I gave a 5 star review to the Spicy Thai chips.  These chips are perfect for people that enjoy a spicy chip, but whose taste buds don't appreciate the added sweetness and ginger flavor.  The only thing I REALLY dislike about these chips (along with the rest of the flavors) is that the serving size is HALF the bag.  Really?  Who can eat half and save the rest for later???  Not me...",Positive,amazon s suggestion for a 4 star review is i like it that being said i gave a 5 star review to the spicy thai chips these chips are perfect for people that enjoy a spicy chip but whose taste buds don t appreciate the added sweetness and ginger flavor the only thing i really dislike about these chips along with the rest of the flavors is that the serving size is half the bag really who can eat half and save the rest for later not me,amazon suggestion 4 star review like said gave 5 star review spicy thai chip chip perfect people enjoy spicy chip whose taste bud appreciate added sweetness ginger flavor thing really dislike chip along rest flavor serving size half bag really eat half save rest later,"joy, neutral, surprise","High, Low, Low","0.828, 0.083, 0.068",0.9483,"spicy, thai, chip, spice, sweetness, like, hint, hot, potato, enough",Value for Money,28.96
5,2011-09-22,Love Kettle Chips,"These are a favorite at our home. We like the ones that have Sea Salt. We also like Barbeque  flavored. These are not ruffly chips that have ridges. These are thickly cut plain slice potatoes. They are thick and crunchy and have a great texture in your mouth. They also have a great taste. The sea salt ones, which are a favorite, have just enough salt to have salt but not so much that you feel like you have to drink a gallon of water with your chips.<br /><br />Enjoy.",Positive,these are a favorite at our home we like the ones that have sea salt we also like barbeque flavored these are not ruffly chips that have ridges these are thickly cut plain slice potatoes they are thick and crunchy and have a great texture in your mouth they also have a great taste the sea salt ones which are a favorite have just enough salt to have salt but not so much that you feel like you have to drink a gallon of water with your chips br br enjoy,favorite home like one sea salt also like barbeque flavored ruffly chip ridge thickly cut plain slice potato thick crunchy great texture mouth also great taste sea salt one favorite enough salt salt much feel like drink gallon water chip br br enjoy,"joy, neutral, surprise","High, Low, Low","0.801, 0.152, 0.015",0.9712,General Feedback,Product Quality,27.0
5,2010-12-17,Best unsalted chips,These are the best unsalted chips around and we have tried many.  They have the best potato flavor.  They came when you said they would.,Positive,these are the best unsalted chips around and we have tried many they have the best potato flavor they came when you said they would,best unsalted chip around tried many best potato flavor came said would,"neutral, joy, surprise","Medium, Low, Low","0.748, 0.184, 0.05",0.8555,"chip, kettle, potato, br, bag, brand, flavour, flavor, best, oil",Product Quality,7.133333333333333
5,2010-10-23,So Delicious...Yet my companions wont touch them.,"Great chips, great price.  Odds are that you will have them to yourself.  If you like your fish and chips soaked in malt vinegar, you will love these.  The best salt and vinegar chips I have ever had (and I love this flavor, mind you).  They are spectacular with deli sandwiches or on their own.  Since I have found that S&V is palatable to only the most intelligent of our species I know that my afternoon snack is all mine, unless of course I run into another heavy brained, hearty breathed like mind.  -Summary- If you like the taste of bitter sweet salty vinegar and a crispy chip to boot you wont pucker at the sight of these handily bagged morsels.  It is the first and only time I have committed to a whole case of chips and I will do it again.  Mmmmm... vinegar...",Positive,great chips great price odds are that you will have them to yourself if you like your fish and chips soaked in malt vinegar you will love these the best salt and vinegar chips i have ever had and i love this flavor mind you they are spectacular with deli sandwiches or on their own since i have found that s v is palatable to only the most intelligent of our species i know that my afternoon snack is all mine unless of course i run into another heavy brained hearty breathed like mind summary if you like the taste of bitter sweet salty vinegar and a crispy chip to boot you wont pucker at the sight of these handily bagged morsels it is the first and only time i have committed to a whole case of chips and i will do it again mmmmm vinegar,great chip great price odds like fish chip soaked malt vinegar love best salt vinegar chip ever love flavor mind spectacular deli sandwich since found v palatable intelligent specie know afternoon snack mine unless course run another heavy brained hearty breathed like mind summary like taste bitter sweet salty vinegar crispy chip boot wont pucker sight handily bagged morsel first time committed whole case chip mmmmm vinegar,"joy, anger, neutral","High, Low, Low","0.843, 0.084, 0.027",0.9884,"salt, vinegar, chip, sea, like, salty, greasy, bag, flavor, taste",Value for Money,25.58
2,2009-07-17,"Love Kettle Chips, but not this flavor!",I was really looking forward to trying these chips since I love cheese but I was SUPER DISAPPOINTED! I am a big fan of Kettle Chips but these tasted somewhat stale and almost plain! They are supposed to have a cheddar taste but you cannot taste any of that...it's annoying. I do not recommend this flavor..salt and vinegar and buffalo bleu are my favorite.,Negative,i was really looking forward to trying these chips since i love cheese but i was super disappointed i am a big fan of kettle chips but these tasted somewhat stale and almost plain they are supposed to have a cheddar taste but you cannot taste any of that it s annoying i do not recommend this flavor salt and vinegar and buffalo bleu are my favorite,really looking forward trying chip since love cheese super disappointed big fan kettle chip tasted somewhat stale almost plain supposed cheddar taste taste annoying recommend flavor salt vinegar buffalo bleu favorite,"sadness, anger, neutral","High, Low, Low","0.926, 0.029, 0.015",0.8779,General Feedback,Defective Item,-31.736666666666668
1,2009-01-31,Maybe the worst chips ever.,"These are perhaps the worst chips that have ever gone into my mouth.<br /><br />For my entire life Sour Cream & Onion (and in this case ""& Chive"") chips were my favorite. Recently Kettle brand Honey Dijon Mustard took that slot. So when I found out they had sour cream & onion I just had to try them.<br /><br />As soon as I opened the bag the chips smelled of powdered milk. And indeed each chip is coated with a powdered sour cream that is just awful. It tastes like rancid milk. Not just sour, but like sour cream that when rancid. The powdery texture is also extremely unappealing. I basically hated these chips. I would not recommend these chips to anyone unless they had a particular affinity for a powdery, chalky texture on a chip, with a rancid (and onion flavor) and I have a hard time believing that person exists.<br /><br />I plan on contacting Kettle and sharing my thoughts with them. Hopefully they'll reassess the seasoning on these otherwise wonderful kettle style chips.",Negative,these are perhaps the worst chips that have ever gone into my mouth br br for my entire life sour cream onion and in this case chive chips were my favorite recently kettle brand honey dijon mustard took that slot so when i found out they had sour cream onion i just had to try them br br as soon as i opened the bag the chips smelled of powdered milk and indeed each chip is coated with a powdered sour cream that is just awful it tastes like rancid milk not just sour but like sour cream that when rancid the powdery texture is also extremely unappealing i basically hated these chips i would not recommend these chips to anyone unless they had a particular affinity for a powdery chalky texture on a chip with a rancid and onion flavor and i have a hard time believing that person exists br br i plan on contacting kettle and sharing my thoughts with them hopefully they ll reassess the seasoning on these otherwise wonderful kettle style chips,perhaps worst chip ever gone mouth br br entire life sour cream onion case chive chip favorite recently kettle brand honey dijon mustard took slot found sour cream onion try br br soon opened bag chip smelled powdered milk indeed chip coated powdered sour cream awful taste like rancid milk sour like sour cream rancid powdery texture also extremely unappealing basically hated chip would recommend chip anyone unless particular affinity powdery chalky texture chip rancid onion flavor hard time believing person exists br br plan contacting kettle sharing thought hopefully reassess seasoning otherwise wonderful kettle style chip,"disgust, sadness, anger","High, Low, Low","0.923, 0.03, 0.015",-0.6969,General Feedback,Defective Item,-22.986666666666665
1,2009-09-12,Surprise 1  It's different...,"Kettle chips now look, feel and taste like Lays.  These chips used to be my favorite when it was crinkle cut and hefty.  Now, no longer my favorite.",Negative,kettle chips now look feel and taste like lays these chips used to be my favorite when it was crinkle cut and hefty now no longer my favorite,kettle chip look feel taste like lay chip used favorite crinkle cut hefty longer favorite,"neutral, joy, sadness","Low, Low, Low","0.46, 0.313, 0.146",0.7506,"chip, kettle, potato, br, bag, brand, flavour, flavor, best, oil",Product Quality,5.566666666666666
5,2008-01-19,Tasty,Great price for an excellent chip. At about 80 cents for a 2 ounce bag these are a bargain as well as a very tasty chip. Everyone I've let try these has been impressed and commented on how good they taste. I've yet to find a Kettle chip that disappointed!,Positive,great price for an excellent chip at about 80 cents for a 2 ounce bag these are a bargain as well as a very tasty chip everyone i ve let try these has been impressed and commented on how good they taste i ve yet to find a kettle chip that disappointed,great price excellent chip 80 cent 2 ounce bag bargain well tasty chip everyone let try impressed commented good taste yet find kettle chip disappointed,"surprise, neutral, joy","High, Low, Low","0.753, 0.139, 0.077",0.9274,General Feedback,Value for Money,17.626666666666665
4,2011-08-27,Crisp,"I love these chips, which is why I bought them, to stock up for the entire school year. The chips taste great, and packages were all sealed and in good condition when the arrived. The box on the other hand was in tatters, with holes and complely squished... I don't know if that was a result of customs or the voyage, but to receive it was a bit disgruntling given it was falling apart. Luckily, there were no victims within. All the chips are as they should be.",Positive,i love these chips which is why i bought them to stock up for the entire school year the chips taste great and packages were all sealed and in good condition when the arrived the box on the other hand was in tatters with holes and complely squished i don t know if that was a result of customs or the voyage but to receive it was a bit disgruntling given it was falling apart luckily there were no victims within all the chips are as they should be,love chip bought stock entire school year chip taste great package sealed good condition arrived box hand tatter hole complely squished know result custom voyage receive bit disgruntling given falling apart luckily victim within chip,"sadness, anger, joy","Medium, Low, Low","0.723, 0.12, 0.087",0.9432,"chip, deal, delivery, price, fast, package, per, always, school, great",Damaged During Shipping,-24.8
3,2011-02-07,Vinegar... Not my taste!,This is the first time I tried Sea Salt & Vinegar chips. Not my taste.  Make sure you like salt & vinegar before ordering. You may be in for a suprise if you have never tried them before.  I'll stick with the salt and black pepper chips.,Neutral,this is the first time i tried sea salt vinegar chips not my taste make sure you like salt vinegar before ordering you may be in for a suprise if you have never tried them before i ll stick with the salt and black pepper chips,first time tried sea salt vinegar chip taste make sure like salt vinegar ordering may suprise never tried stick salt black pepper chip,"surprise, neutral, joy","High, Low, Low","0.874, 0.091, 0.017",0.5859,"salt, vinegar, chip, sea, like, salty, greasy, bag, flavor, taste",General Feedback,18.046666666666667
5,2010-12-16,spicy thai chips,"TOTALLY ORGASMIC.  these chips are the best spicy chip i have ever tasted.  signed up for the subscribe and save option.  the case contained 15(FIFTEEN, FULL SIZED BAGS) OF CHIPS.  the price per unit equals $1.73  per package.  that is not even the cost of plain chips.  if you add the free shipping and the fast delivery, this deal is a steal.  so run like you stole something over to your computer and order the SPICY THAI CHIPS.  p.s.  even if you paid the going price of $30.00, you are still ahead of the curve.  ENJOY",Positive,totally orgasmic these chips are the best spicy chip i have ever tasted signed up for the subscribe and save option the case contained 15 fifteen full sized bags of chips the price per unit equals 1 73 per package that is not even the cost of plain chips if you add the free shipping and the fast delivery this deal is a steal so run like you stole something over to your computer and order the spicy thai chips p s even if you paid the going price of 30 00 you are still ahead of the curve enjoy,totally orgasmic chip best spicy chip ever tasted signed subscribe save option case contained 15 fifteen full sized bag chip price per unit equal 1 73 per package even cost plain chip add free shipping fast delivery deal steal run like stole something computer order spicy thai chip p even paid going price 30 00 still ahead curve enjoy,"joy, surprise, neutral","High, Low, Low","0.906, 0.044, 0.037",0.9255,"chip, deal, delivery, price, fast, package, per, always, school, great",Fast Delivery,31.08
5,2010-12-02,"Delicious, what else did you expect?","Seriously, now. Tasty, tasty, tasty. Fresh, too!<br /><br />The only problem is that you have a pack of 24 and that can lend itself to wanting to make multiple trips to the cupboard for more helpings! Or, grabbing multiple bags to begin with. Pace yourself! I keep saying.<br /><br />You can't go wrong with these if you're a fan of the salt and vinegar classic flavor.<br /><br />2-ounce bags are about double the size of the kid's bags; about the same size as the ones in the small gas station racks. It's really a good size for an adult.<br /><br />It's a somewhat healthier snack than a typical bag of fried chips, but it has 300 calories per bag. Again, not too bad, but something to think about.<br /><br />Bottom-line: Delicious!",Positive,seriously now tasty tasty tasty fresh too br br the only problem is that you have a pack of 24 and that can lend itself to wanting to make multiple trips to the cupboard for more helpings or grabbing multiple bags to begin with pace yourself i keep saying br br you can t go wrong with these if you re a fan of the salt and vinegar classic flavor br br 2 ounce bags are about double the size of the kid s bags about the same size as the ones in the small gas station racks it s really a good size for an adult br br it s a somewhat healthier snack than a typical bag of fried chips but it has 300 calories per bag again not too bad but something to think about br br bottom line delicious,seriously tasty tasty tasty fresh br br problem pack 24 lend wanting make multiple trip cupboard helping grabbing multiple bag begin pace keep saying br br go wrong fan salt vinegar classic flavor br br 2 ounce bag double size kid bag size one small gas station rack really good size adult br br somewhat healthier snack typical bag fried chip 300 calorie per bag bad something think br br bottom line delicious,"joy, neutral, surprise","High, Low, Low","0.91, 0.051, 0.028",0.4005,"bag, br, box, size, fresh, product, dollar, expiration, hole, wrapper",Packaging Issue,30.89333333333333
5,2010-11-30,Great Value,"Despite coming in an extremely large box, I found this to be great value. All the bags were preserved with a reasonable expiration date that is months away. I'd definitely recommend.",Positive,despite coming in an extremely large box i found this to be great value all the bags were preserved with a reasonable expiration date that is months away i d definitely recommend,despite coming extremely large box found great value bag preserved reasonable expiration date month away definitely recommend,"neutral, surprise, joy","Low, Low, Low","0.461, 0.284, 0.172",0.8934,"bag, br, box, size, fresh, product, dollar, expiration, hole, wrapper",Value for Money,11.413333333333332
1,2010-07-14,"I have had better ""Jalapeno Kettle Chips""","These were nasty, they were so greasy and too rich for my blood, plus they lacked major flavor, no spicy jalapeno flavor at all.  I was so dissapointed in these chips, I am always hearing great things about these chips but I am telling you, yuck yuck yuck.  Give me pain chips any day.  Maybe there is a better kettle chip brand out there but I am staying clear from these chips. I wish I could give these zero stars if I could.",Negative,these were nasty they were so greasy and too rich for my blood plus they lacked major flavor no spicy jalapeno flavor at all i was so dissapointed in these chips i am always hearing great things about these chips but i am telling you yuck yuck yuck give me pain chips any day maybe there is a better kettle chip brand out there but i am staying clear from these chips i wish i could give these zero stars if i could,nasty greasy rich blood plus lacked major flavor spicy jalapeno flavor dissapointed chip always hearing great thing chip telling yuck yuck yuck give pain chip day maybe better kettle chip brand staying clear chip wish could give zero star could,"joy, neutral, sadness","High, Low, Low","0.785, 0.096, 0.056",0.8402,General Feedback,Defective Item,24.3
4,2010-02-01,Spicy but good,"If you like spicy, then these are for you.  I like spicy, so I enjoyed these.  They're also crunchy, as kettle-cooked chips should be.",Positive,if you like spicy then these are for you i like spicy so i enjoyed these they re also crunchy as kettle cooked chips should be,like spicy like spicy enjoyed also crunchy kettle cooked chip,"joy, neutral, surprise","High, Low, Low","0.898, 0.071, 0.014",0.8074,"spicy, thai, chip, spice, sweetness, like, hint, hot, potato, enough",General Feedback,30.21333333333333
3,2009-12-25,boulder salt and malt vinegar chips are way better,"These are decent, but if you want a realllly good salt and vinegar chip, try Boulder's Salt and Malt Vinegar chips.  THOSE are awesome.",Neutral,these are decent but if you want a realllly good salt and vinegar chip try boulder s salt and malt vinegar chips those are awesome,decent want realllly good salt vinegar chip try boulder salt malt vinegar chip awesome,"joy, neutral, surprise","Medium, Low, Low","0.533, 0.321, 0.114",0.8074,"salt, vinegar, chip, sea, like, salty, greasy, bag, flavor, taste",Product Quality,20.04666666666667
2,2009-11-19,POTATO CHIPS,"Being a salt-free product is why I purchased this, but the chips are quite greasy.",Negative,being a salt free product is why i purchased this but the chips are quite greasy,salt free product purchased chip quite greasy,"joy, neutral, surprise","Medium, Low, Low","0.715, 0.248, 0.021",0.5106,"salt, vinegar, chip, sea, like, salty, greasy, bag, flavor, taste",Value for Money,24.25333333333333
5,2009-10-11,"Lightly Salted, Heavily Delicious!","These are the best potato chips that money can buy.  There is just enough salt to taste it, but not so much that it masks the lingering potatoey awesomeness after you've wolfed down a bag of these beauties.  Each chip has the perfect thickness - my teeth get excited every time I put one in my mouth!  Everything about these chips is so perfect, it's like they were made by God and delivered by Gabriel himself.  Now that I know Amazon carries these, I don't even have to leave my house to buy them!  I may never eat anything else again!",Positive,these are the best potato chips that money can buy there is just enough salt to taste it but not so much that it masks the lingering potatoey awesomeness after you ve wolfed down a bag of these beauties each chip has the perfect thickness my teeth get excited every time i put one in my mouth everything about these chips is so perfect it s like they were made by god and delivered by gabriel himself now that i know amazon carries these i don t even have to leave my house to buy them i may never eat anything else again,best potato chip money buy enough salt taste much mask lingering potatoey awesomeness wolfed bag beauty chip perfect thickness teeth get excited every time put one mouth everything chip perfect like made god delivered gabriel know amazon carry even leave house buy may never eat anything else,"joy, neutral, surprise","Medium, Low, Low","0.616, 0.313, 0.037",0.9716,"chip, kettle, potato, br, bag, brand, flavour, flavor, best, oil",Product Quality,21.273333333333333
3,2009-08-26,Too Much Flavor,"These things are just too darn cheesy. If you like a lot of flavor, you'll love these. Otherwise, you will overdose on their cheddary goodness.",Neutral,these things are just too darn cheesy if you like a lot of flavor you ll love these otherwise you will overdose on their cheddary goodness,thing darn cheesy like lot flavor love otherwise overdose cheddary goodness,"sadness, joy, neutral","Medium, Low, Low","0.627, 0.158, 0.152",0.8658,General Feedback,General Feedback,-15.633333333333333
